LLT_TERM,LLT_CODE,PT_TERM,PT_CODE,HLT_TERM,HLT_CODE,HLGT_TERM,HLGT_CODE,SOC_TERM,SOC_CODE,
Heart rate increased,10019303,Heart rate increased,10019303,Heart rate and pulse investigations,10019301,Cardiac and vascular investigations (excl enzyme tests),10007519,Investigations,10022891,
Blood potassium decreased,10005720,Blood potassium decreased,10005720,Electrolyte and fluid balance analyses,10014418,"Metabolic, nutritional and blood gas investigations",10027432,Investigations,10022891,
Platelet count decreased,10035528,Platelet count decreased,10035528,Platelet analyses,10035518,Haematology investigations (incl blood groups),10018851,Investigations,10022891,
Depression,10012378,Depression,10012378,Depressive disorders,10012373,Depressed mood disorders and disturbances,10012372,Psychiatric disorders,10037175,
Anxiety,10002855,Anxiety,10002855,Anxiety symptoms,10002869,Anxiety disorders and symptoms,10002861,Psychiatric disorders,10037175,
Decreased appetite,10011955,Decreased appetite,10011955,Appetite disorders,10003024,Appetite and general nutritional disorders,10003022,Metabolism and nutrition disorders,10027433,
Dehydration,10012174,Dehydration,10012174,Total fluid volume decreased,10044062,Water and lipid depletion,10047847,Metabolism and nutrition disorders,10027433,
Hypokalaemia,10020921,Hypokalaemia,10020921,Potassium imbalance,10036398,Electrolyte and fluid balance conditions,10014421,Metabolism and nutrition disorders,10027433,
Hyponatraemia,10021038,Hyponatraemia,10021038,Sodium imbalance,10041285,Electrolyte and fluid balance conditions,10014421,Metabolism and nutrition disorders,10027433,
Thrombocytopenia,10043554,Thrombocytopenia,10043554,Thrombocytopenias,10043555,Platelet disorders,10035532,Blood and lymphatic system disorders,10005329,
Leukopenia,10024384,Leukopenia,10024384,Leukopenias NEC,10024385,White blood cell disorders,10047946,Blood and lymphatic system disorders,10005329,
Neutropenia,10029354,Neutropenia,10029354,Neutropenias,10029355,White blood cell disorders,10047946,Blood and lymphatic system disorders,10005329,
Night sweats,10029415,Night sweats,10029415,Sweat gland abnormalities,10042676,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Memory impairment,10027115,Memory impairment,10027115,Memory loss (excl dementia),10027120,Mental impairment disorders,10027329,Nervous system disorders,10029205,
Vision blurred,10047513,Vision blurred,10047513,Visual disorders NEC,10047535,Vision disorders,10047522,Eye disorders,10015919,
Tinnitus,10043882,Tinnitus,10043882,Inner ear signs and symptoms,10022067,Inner ear and VIIIth cranial nerve disorders,10022062,Ear and labyrinth disorders,10013993,
